location_name,profile,lat,lon,day_idx,elevation_m,slope_deg,dist_coast_km,dist_river_km,land_cover_idx,soil_moisture_pct,rain_cum_3d_mm,rain_fcst_48h_mm,river_gauge_m,wind_speed_kmh,baro_drop_hpa
"Kochi, Kerala",coastal_flood,9.9312,76.2673,0,6.0,0.5,8.45,1.2,0,5.0,0.3,3.3,0.518,29.2,0.5
"Kochi, Kerala",coastal_flood,9.9312,76.2673,1,6.0,0.5,8.45,1.2,0,5.0,0.8,3.3,0.548,25.3,0.0
"Kochi, Kerala",coastal_flood,9.9312,76.2673,2,6.0,0.5,8.45,1.2,0,5.0,6.1,3.3,0.865,26.6,0.0
"Kochi, Kerala",coastal_flood,9.9312,76.2673,3,6.0,0.5,8.45,1.2,0,5.0,10.1,3.3,1.105,24.7,1.2
"Kochi, Kerala",coastal_flood,9.9312,76.2673,4,6.0,0.5,8.45,1.2,0,5.0,24.7,3.3,1.979,27.1,0.0
"Kochi, Kerala",coastal_flood,9.9312,76.2673,5,6.0,0.5,8.45,1.2,0,5.0,20.3,3.3,1.716,24.5,0.0
"Kochi, Kerala",coastal_flood,9.9312,76.2673,6,6.0,0.5,8.45,1.2,0,5.0,19.4,3.3,1.662,27.6,0.0
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,0,2195.0,8.64,1250.79,4.0,1,29.27,17.1,2.4,1.524,7.9,1.3
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,1,2195.0,8.64,1250.79,4.0,1,27.95,17.1,2.4,1.524,14.9,0.0
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,2,2195.0,8.64,1250.79,4.0,1,25.88,17.1,2.4,1.524,18.8,0.0
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,3,2195.0,8.64,1250.79,4.0,1,24.98,2.6,2.4,0.656,14.3,0.0
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,4,2195.0,8.64,1250.79,4.0,1,24.43,2.6,2.4,0.656,23.8,1.9
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,5,2195.0,8.64,1250.79,4.0,1,23.35,2.6,2.4,0.656,19.9,0.0
"Shimla, Himachal Pradesh",mountain_landslide,31.1048,77.1734,6,2195.0,8.64,1250.79,4.0,1,22.41,0.7,2.4,0.542,19.5,0.0
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,0,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,16.9,1.6
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,1,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,21.9,0.0
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,2,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,21.6,0.0
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,3,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,16.9,0.6
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,4,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,18.3,0.7
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,5,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,15.9,0.0
"Mumbai, Maharashtra",urban_coastal_flood,19.076,72.8777,6,6.0,0.5,11.75,5.5,0,5.0,0.0,0.0,0.5,21.1,0.0
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,0,10.0,0.5,27.23,2.8,2,11.64,0.4,0.1,0.524,16.8,0.0
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,1,10.0,0.5,27.23,2.8,2,11.38,2.2,0.1,0.632,12.3,0.0
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,2,10.0,0.5,27.23,2.8,2,11.89,2.6,0.1,0.656,12.7,0.0
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,3,10.0,0.5,27.23,2.8,2,11.45,2.2,0.1,0.632,14.4,0.7
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,4,10.0,0.5,27.23,2.8,2,11.07,0.4,0.1,0.524,18.1,1.1
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,5,10.0,0.5,27.23,2.8,2,10.66,0.0,0.1,0.5,15.4,0.0
"Puri, Odisha",cyclone_coastal,19.8135,85.8312,6,10.0,0.5,27.23,2.8,2,10.62,4.7,0.1,0.781,8.4,0.1
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,0,227.0,0.5,744.74,42.0,2,17.15,0.6,0.0,0.536,8.7,0.3
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,1,227.0,0.5,744.74,42.0,2,16.66,0.7,0.0,0.542,16.4,0.0
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,2,227.0,0.5,744.74,42.0,2,16.08,0.8,0.0,0.548,16.1,1.1
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,3,227.0,0.5,744.74,42.0,2,15.6,0.2,0.0,0.512,7.9,1.2
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,4,227.0,0.5,744.74,42.0,2,15.01,0.1,0.0,0.506,8.0,1.6
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,5,227.0,0.5,744.74,42.0,2,14.78,0.0,0.0,0.5,18.1,0.0
"Bikaner, Rajasthan",desert_safe,28.0229,73.3119,6,227.0,0.5,744.74,42.0,2,14.29,0.0,0.0,0.5,13.6,0.0
